rank,global_index,compact_index,field
1,11,11,ip_len
2,22,22,ip_proto
3,24,24,ip_src
4,27,27,ip_src
5,28,28,ip_src
6,29,29,ip_src
7,33,33,ip_src
8,44,44,ip_src
9,46,46,ip_src
10,53,53,ip_src
11,54,54,ip_src
12,55,55,ip_src
13,63,63,ip_dst
14,65,65,ip_dst
15,70,70,ip_dst
16,72,72,ip_dst
17,74,74,ip_dst
18,75,75,ip_dst
19,81,81,ip_dst
20,84,84,ip_dst
21,85,85,ip_dst
22,96,96,tcp_sport
23,97,97,tcp_sport
24,101,101,tcp_sport
25,106,106,tcp_dport
26,145,129,ip_ttl
27,148,132,ip_ttl
28,151,135,ip_flags
29,153,137,tcp_window
30,164,148,tcp_window
