rank,global_index,compact_index,field
1,23,23,ip_proto
2,32,32,ip_src
3,33,33,ip_src
4,35,35,ip_src
5,37,37,ip_src
6,38,38,ip_src
7,40,40,ip_src
8,43,43,ip_src
9,51,51,ip_src
10,54,54,ip_src
11,55,55,ip_src
12,57,57,ip_dst
13,67,67,ip_dst
14,68,68,ip_dst
15,69,69,ip_dst
16,72,72,ip_dst
17,75,75,ip_dst
18,80,80,ip_dst
19,81,81,ip_dst
20,83,83,ip_dst
21,84,84,ip_dst
22,85,85,ip_dst
23,86,86,ip_dst
24,87,87,ip_dst
25,100,100,tcp_sport
26,103,103,tcp_sport
27,114,114,tcp_dport
28,143,127,ip_ttl
29,145,129,ip_ttl
30,154,138,tcp_window
