rank,global_index,compact_index,field
1,22,22,ip_proto
2,25,25,ip_src
3,27,27,ip_src
4,32,32,ip_src
5,34,34,ip_src
6,35,35,ip_src
7,37,37,ip_src
8,44,44,ip_src
9,46,46,ip_src
10,48,48,ip_src
11,49,49,ip_src
12,51,51,ip_src
13,53,53,ip_src
14,57,57,ip_dst
15,59,59,ip_dst
16,60,60,ip_dst
17,63,63,ip_dst
18,69,69,ip_dst
19,76,76,ip_dst
20,83,83,ip_dst
21,84,84,ip_dst
22,93,93,tcp_sport
23,98,98,tcp_sport
24,100,100,tcp_sport
25,105,105,tcp_dport
26,109,109,tcp_dport
27,113,113,tcp_dport
28,114,114,tcp_dport
29,119,119,tcp_dport
30,143,127,ip_ttl
